state,county,fips,od_count,opioid_claim_count,county_population,od_per_prescription,od_per_rx_rank,od_per_capita,rx_per_capita,od_per_capita_rank,rx_per_capita_rank
AL,Houston County,1069,14,79268.0,104193,0.000176616036736,825,0.000134366032267,0.760780474696,576,54
OH,Scioto County,39145,24,58632.0,77258,0.000409332787556,591,0.000310647441042,0.758911698465,101,55
MI,Bay County,26017,16,79884.0,106179,0.000200290421111,811,0.000150688930956,0.752352160032,513,56
MI,Van Buren County,26159,10,56386.0,75199,0.000177348987337,824,0.000132980491762,0.749823800848,587,57
TN,Wilson County,47189,22,93932.0,125376,0.000234211983137,791,0.000175472179684,0.749202399183,414,58
TN,Hardin County,47071,12,19273.0,25870,0.000622632698594,367,0.00046385775029,0.744994201778,27,59
IN,Bartholomew County,18005,11,59516.0,80217,0.000184824248941,821,0.000137128040191,0.741937494546,561,60
WV,Mason County,54053,14,19995.0,27016,0.000700175043761,292,0.000518211430264,0.740116967723,18,61
VA,Danville city,51590,13,31280.0,42444,0.000415601023018,582,0.000306285929696,0.73697106776,104,62
VA,Henry County,51089,10,38189.0,52081,0.000261855508131,771,0.000192008601985,0.733261650122,357,63
AR,Garland County,5051,22,68585.0,97322,0.000320769847634,705,0.000226053718584,0.704722467685,255,64
LA,Rapides Parish,22079,14,92419.0,132488,0.000151484002207,834,0.000105669947467,0.697565062496,715,65
LA,St. Landry Parish,22097,10,58358.0,83709,0.000171356112273,828,0.000119461467704,0.697153233225,654,66
KY,Powell County,21197,11,8548.0,12434,0.00128685072532,76,0.000884671063214,0.687469840759,5,67
TN,Knox County,47093,130,304587.0,448644,0.000426807447462,574,0.000289762038498,0.678905769385,129,68
TN,Cumberland County,47035,16,39320.0,57985,0.000406917599186,594,0.00027593343106,0.678106406829,148,69
IN,Clark County,18019,26,76993.0,114262,0.000337693037029,681,0.000227547216047,0.673828569428,253,70
TN,Putnam County,47141,20,49801.0,74165,0.000401598361479,600,0.000269668981325,0.671489246949,167,71
VA,Tazewell County,51185,15,29086.0,43452,0.000515712026404,460,0.000345208505938,0.669382306913,77,72
WV,Fayette County,54019,19,30109.0,45132,0.000631040552659,354,0.000420987326066,0.667131968448,44,73
TN,Hamilton County,47065,63,233662.0,351220,0.000269620220661,761,0.000179374750868,0.66528671488,396,74
MS,Tishomingo County,28141,10,12916.0,19420,0.000774233508826,246,0.000514933058702,0.66508753862,19,75
WV,Raleigh County,54081,42,51116.0,78241,0.000821660536818,223,0.000536802954972,0.653314758247,16,76
OH,Ross County,39141,31,49987.0,77159,0.000620161241923,368,0.000401767778224,0.647844062261,51,77
NC,Sampson County,37163,19,41271.0,64050,0.000460371689564,528,0.000296643247463,0.644355971897,119,78
TX,Smith County,48423,19,139577.0,218842,0.000136125579429,842,8.68206285814e-05,0.637798046079,775,79
NC,Brunswick County,37019,22,75456.0,118836,0.000291560644614,731,0.000185129085462,0.634959103302,379,80
WV,Kanawha County,54039,84,120642.0,190223,0.000696274929129,296,0.000441586979492,0.634213528333,31,81
MO,Greene County,29077,64,181020.0,285865,0.000353552093691,665,0.000223881902297,0.633235968027,262,82
NC,Davidson County,37057,33,103842.0,164072,0.000317790489397,710,0.000201131210688,0.632905066069,330,83
NC,Columbus County,37047,11,35920.0,56953,0.000306236080178,722,0.000193141713343,0.630695485751,353,84
WV,Wyoming County,54109,18,14215.0,22598,0.00126626802673,78,0.000796530666431,0.629037967962,7,85
AL,Jefferson County,1073,182,415413.0,660793,0.00043811821007,563,0.000275426646469,0.628658293898,151,86
MI,Muskegon County,26121,52,107567.0,172344,0.000483419636134,502,0.000301722137121,0.624141252379,113,87
TN,Blount County,47009,22,78767.0,126339,0.000279304784999,745,0.000174134669421,0.623457523013,416,88
WV,Ohio County,54069,11,26948.0,43328,0.000408193557963,592,0.000253877400295,0.621953471196,202,89
OH,Greene County,39057,44,101636.0,163820,0.000432917470188,568,0.000268587474057,0.620412648028,171,90
WV,Logan County,54045,23,21822.0,35348,0.00105398221978,125,0.00065067330542,0.617347516125,9,91
PA,Crawford County,42039,18,53770.0,87175,0.000334759159383,684,0.000206481215945,0.616805276742,306,92
IN,Wayne County,18177,21,41412.0,67671,0.000507099391481,473,0.00031032495456,0.611960810391,102,93
OK,Sequoyah County,40135,15,25272.0,41358,0.000593542260209,397,0.000362686783694,0.611054693167,68,94
OH,Washington County,39167,12,37357.0,61213,0.000321224937763,704,0.000196036789571,0.610278862333,343,95
AL,Shelby County,1117,40,125952.0,206655,0.000317581300813,711,0.000193559313832,0.609479567395,351,96
NC,Cabarrus County,37025,22,116960.0,192103,0.000188098495212,818,0.000114521897107,0.608840049349,673,97
VA,Richmond city,51760,52,131600.0,217853,0.000395136778116,617,0.000238693063671,0.604077061138,230,98
WV,Wood County,54107,25,52049.0,86237,0.000480316624719,504,0.00028989876735,0.603557637673,127,99
OH,Fayette County,39047,12,17380.0,28800,0.000690448791715,304,0.000416666666667,0.603472222222,46,100
TN,Maury County,47119,21,51602.0,85515,0.000406960970505,593,0.000245570952464,0.60342629948,217,101
TN,Sevier County,47155,16,57282.0,95110,0.00027931985615,744,0.000168226264326,0.602271054568,437,102
FL,Hernando County,12053,28,105824.0,175855,0.000264590263078,768,0.000159222086378,0.601768502459,484,103
TN,Anderson County,47001,22,45368.0,75528,0.000484923293952,501,0.000291282703103,0.600677894291,125,104
TN,Sumner County,47165,28,102727.0,172706,0.000272567095311,754,0.00016212523016,0.594808518523,469,105
GA,Walker County,13295,12,40501.0,68218,0.000296288980519,727,0.000175906652203,0.593699610074,410,106
MI,Saginaw County,26145,44,115419.0,195012,0.000381219729854,634,0.000225627140894,0.591855885792,258,107
NC,Buncombe County,37021,34,147470.0,250539,0.000230555367193,798,0.000135707414814,0.588610954781,567,108
IL,Williamson County,17199,17,39324.0,67008,0.000432305970908,569,0.000253701050621,0.58685530086,204,109
TN,Campbell County,47013,16,23410.0,39918,0.000683468603161,313,0.000400821684453,0.586452227065,52,110
OH,Portage County,39133,30,93830.0,161882,0.000319727166152,709,0.000185320171483,0.579619723008,377,111
AL,Morgan County,1103,10,69300.0,119607,0.0001443001443,839,8.36071467389e-05,0.579397526901,782,112
KY,Fayette County,21067,84,179849.0,310797,0.000467058476833,516,0.000270272879082,0.578670321786,163,113
OH,Erie County,39043,20,43846.0,75828,0.000456141951375,535,0.000263754813525,0.578229677692,184,114
NC,Surry County,37171,15,42150.0,72968,0.000355871886121,662,0.000205569564741,0.577650476921,308,115
IN,Vanderburgh County,18163,31,104764.0,182006,0.000295903172846,728,0.000170324055251,0.575607397558,432,116
OH,Mahoning County,39099,52,133806.0,233204,0.000388622333827,624,0.000222980737895,0.573772319514,264,117
OH,Clinton County,39027,13,23924.0,41835,0.000543387393412,437,0.000310744591849,0.571865662723,100,118
OR,Jackson County,41029,28,119948.0,210287,0.000233434488278,793,0.000133151359808,0.570401403796,583,119
GA,Bibb County,13021,12,87090.0,153905,0.000137788494661,841,7.79701764075e-05,0.565868555278,803,120
GA,Whitfield County,13313,11,58278.0,103542,0.000188750471876,817,0.000106237082537,0.562844063279,711,121
SC,Florence County,45041,24,78132.0,139231,0.000307172477346,719,0.000172375404903,0.561168130661,423,122
SC,Laurens County,45059,11,37320.0,66533,0.00029474812433,730,0.000165331489637,0.560924653931,455,123
AR,Sebastian County,5131,16,70866.0,126776,0.000225778229334,803,0.000126206853032,0.558985927936,623,124
KY,Leslie County,21131,10,6101.0,10918,0.00163907556138,41,0.000915918666422,0.558801978384,4,125
WV,Mercer County,54055,43,34497.0,61785,0.00124648520161,81,0.000695961803027,0.558339402768,8,126
TN,Greene County,47059,19,38105.0,68335,0.000498622228054,486,0.000278041998976,0.55762054584,143,127
MO,Dunklin County,29069,11,17474.0,31344,0.000629506695662,357,0.000350944359367,0.557491066871,74,128
LA,Terrebonne Parish,22109,23,62861.0,113328,0.000365886638774,650,0.000202950727093,0.554681985035,320,129
GA,Walton County,13297,13,47990.0,87615,0.000270889768702,758,0.000148376419563,0.547737259602,517,130
SC,Spartanburg County,45083,52,160356.0,293542,0.000324278480381,698,0.000177146711544,0.546279578391,405,131
IN,Vigo County,18167,16,59032.0,108175,0.000271039436238,756,0.000147908481627,0.545708342963,520,132
KY,Montgomery County,21173,10,14978.0,27474,0.000667645880625,323,0.000363980490646,0.545169978889,67,133
TX,Potter County,48375,16,66243.0,121627,0.000241534954637,785,0.000131549738134,0.54464058145,594,134
NC,Iredell County,37097,28,90763.0,166675,0.000308495752675,717,0.00016799160042,0.544550772461,438,135
SC,Anderson County,45007,38,104657.0,192810,0.00036309085871,655,0.000197085213423,0.542798610031,340,136
PA,Venango County,42121,11,28933.0,53529,0.000380188711852,637,0.000205496086234,0.540510751182,309,137
AL,Mobile County,1097,58,224189.0,415123,0.000258710284626,773,0.00013971762586,0.540054393517,547,138
VA,Washington County,51191,11,29546.0,54729,0.000372300819062,644,0.000200990334192,0.53986003764,331,139
AL,Marshall County,1095,25,50667.0,94636,0.000493417806462,494,0.000264170083266,0.535388224354,183,140
CA,Yuba County,6115,11,39454.0,73966,0.000278805697775,746,0.000148716978071,0.533407241165,516,141
IN,Delaware County,18035,35,62240.0,117074,0.00056233933162,422,0.000298956215727,0.531629567624,116,142
PA,Cambria County,42021,36,73214.0,137732,0.000491709235938,497,0.000261377167252,0.531568553423,187,143
AR,Pulaski County,5119,58,208264.0,392702,0.000278492682365,748,0.000147694689612,0.530335979954,524,144
NV,Carson City,32510,10,28790.0,54522,0.000347342827371,670,0.00018341220058,0.528043725469,383,145
TN,Bradley County,47011,25,54159.0,102975,0.00046160379623,525,0.000242777373149,0.525943190095,222,146
IN,Madison County,18095,29,68115.0,130069,0.000425750568891,578,0.000222958583521,0.523683583329,265,147
OH,Champaign County,39021,11,20490.0,39128,0.000536847242557,441,0.000281128603558,0.52366591699,136,148
IN,Hamilton County,18057,27,157777.0,302623,0.00017112760415,829,8.92199204951e-05,0.521364866517,772,149
OK,Cherokee County,40021,13,25133.0,48341,0.000517248239367,459,0.000268922860512,0.519910634865,170,150
MD,Worcester County,24047,12,26857.0,51675,0.000446810887292,544,0.000232220609579,0.519729075955,241,151
AL,Calhoun County,1015,21,60065.0,115916,0.000349621243653,666,0.000181165671693,0.518176955727,388,152
PA,Clearfield County,42033,12,41998.0,81191,0.000285727891804,735,0.000147799632964,0.517274082103,521,153
OK,Tulsa County,40143,118,325042.0,629598,0.00036303000843,656,0.000187421179864,0.516269111401,370,154
WV,Harrison County,54033,14,35324.0,68761,0.00039633110633,611,0.00020360378703,0.513721440933,315,155
KY,Kenton County,21117,74,84068.0,163929,0.000880239805871,189,0.000451414941835,0.512831774732,28,156
NC,Pitt County,37147,22,89814.0,175354,0.000244950675841,781,0.000125460497052,0.512186776464,628,157
OH,Wayne County,39169,16,59166.0,115537,0.00027042558226,759,0.00013848377576,0.512095692289,552,158
PA,Blair County,42013,21,64428.0,125955,0.000325945241199,696,0.000166726211742,0.511516017625,447,159
NC,Forsyth County,37067,58,186854.0,365298,0.000310402774359,716,0.000158774480014,0.511511149801,487,160
MI,Grand Traverse County,26055,11,46394.0,90782,0.000237099624952,787,0.000121169394814,0.511048445727,647,161
CA,Shasta County,6089,39,91725.0,179804,0.000425183973835,579,0.00021690284977,0.510138817824,282,162
IA,Cerro Gordo County,19033,11,22008.0,43254,0.00049981824791,482,0.000254311739955,0.508808433902,201,163
NC,Craven County,37049,14,53093.0,104510,0.000263688245155,769,0.000133958472873,0.508018371448,579,164
GA,Madison County,13195,12,14336.0,28312,0.000837053571429,211,0.000423848544787,0.506357728172,42,165
GA,Richmond County,13245,26,101839.0,201368,0.000255304942115,775,0.000129116840809,0.505735767351,606,166
GA,Columbia County,13073,15,70344.0,139257,0.000213237802798,808,0.000107714513454,0.505137982292,700,167
MO,Jasper County,29097,15,59076.0,117543,0.000253910217347,776,0.000127612873587,0.502590541334,616,168
IN,Grant County,18053,15,34451.0,68569,0.000435401004325,565,0.00021875774767,0.502428210999,275,169
MO,St. Louis city,29510,117,157706.0,317419,0.000741886802024,268,0.000368597973026,0.496838563539,64,170
VA,Orange County,51137,12,17354.0,35026,0.000691483231532,302,0.00034260263804,0.495460515046,79,171
TN,Davidson County,47037,125,328080.0,668347,0.000381004633016,635,0.000187028594428,0.490882730079,371,172
IN,Porter County,18127,41,81998.0,167076,0.000500012195419,481,0.000245397304221,0.490782637841,218,173
IN,La Porte County,18091,23,54605.0,111444,0.00042120684919,581,0.000206381680485,0.489977028822,307,174
WV,Putnam County,54079,12,27806.0,56770,0.000431561533482,570,0.000211379249604,0.489800951207,292,175
VA,Wythe County,51197,10,14198.0,29121,0.000704324552754,289,0.000343394801003,0.487551938464,78,176
CA,Butte County,6007,78,109287.0,224241,0.000713717093524,282,0.000347840047092,0.487364041366,76,177
IN,Howard County,18067,19,40400.0,82982,0.000470297029703,512,0.00022896531778,0.486852570437,248,178
OH,Montgomery County,39113,259,258714.0,533116,0.00100110546781,140,0.000485822972861,0.48528650425,25,179
ME,Androscoggin County,23001,24,52127.0,107440,0.000460413988912,527,0.000223380491437,0.485173119881,263,180
LA,Lafayette Parish,22055,32,114200.0,235644,0.000280210157618,742,0.000135798068272,0.484629356147,566,181
IN,Monroe County,18105,27,69375.0,143339,0.000389189189189,623,0.000188364646049,0.48399249332,368,182
NC,Harnett County,37085,15,61285.0,126666,0.000244758097414,783,0.000118421675904,0.48383149385,656,183
TN,Williamson County,47187,19,98643.0,205226,0.000192613768843,815,9.2580862074e-05,0.480655472503,763,184
FL,Flagler County,12035,10,49185.0,102408,0.000203314018502,809,9.76486212015e-05,0.480284743379,746,185
TX,Grayson County,48181,17,59291.0,123534,0.000286721424837,733,0.000137613936244,0.479956934933,557,186
KS,Reno County,20155,10,30396.0,63794,0.000328990656665,692,0.00015675455372,0.476471141487,490,187
NC,New Hanover County,37129,41,102406.0,216298,0.000400367165986,606,0.000189553301464,0.473448668041,363,188
NC,Henderson County,37089,13,52517.0,111149,0.000247538892168,779,0.0001169601166,0.472491880269,666,189
FL,Citrus County,12017,25,65690.0,139377,0.00038057543005,636,0.000179369623396,0.471311622434,397,190
PA,Mercer County,42085,27,54136.0,114884,0.000498743904241,485,0.000235019672017,0.471223146826,236,191
AL,Tuscaloosa County,1125,23,95190.0,202212,0.00024162201912,784,0.000113742013333,0.470743576049,679,192
IN,Henry County,18065,13,22983.0,48995,0.000565635469695,421,0.000265333197265,0.469088682519,179,193
OK,Carter County,40019,19,22710.0,48821,0.000836635843241,212,0.000389176788677,0.465168677413,57,194
KY,Warren County,21227,16,55816.0,120460,0.000286656155941,734,0.000132824174,0.463357130998,588,195
OH,Warren County,39165,41,102291.0,221659,0.000400817276202,604,0.000184968803432,0.461479118827,381,196
VA,Frederick County,51069,16,37942.0,82377,0.000421696273259,580,0.000194228971679,0.460589727715,346,197
FL,Bay County,12005,26,82434.0,178985,0.000315403838222,715,0.000145263569573,0.460563734391,530,198
IN,Floyd County,18043,18,35045.0,76179,0.00051362533885,466,0.000236285590517,0.460034917759,235,199
AL,Montgomery County,1101,23,103939.0,226189,0.000221283637518,807,0.000101684874154,0.459522788465,735,200
OH,Marion County,39101,29,30178.0,65720,0.000960964941348,149,0.000441265976872,0.459190505173,32,201
OH,Delaware County,39041,14,86558.0,189113,0.000161741260195,831,7.40298128632e-05,0.457705181558,811,202
KY,Daviess County,21059,11,44933.0,98275,0.000244808937752,782,0.000111930806411,0.457216993132,684,203
OK,Pittsburg County,40121,17,20380.0,44626,0.000834151128557,214,0.000380943844396,0.456684444046,59,204
LA,Ouachita Parish,22073,16,71377.0,156325,0.000224161844852,804,0.000102350871582,0.456593635055,733,205
MI,Genesee County,26049,52,188479.0,412895,0.000275892805034,751,0.000125940008961,0.456481672096,625,206
OH,Hamilton County,39061,258,367875.0,806631,0.000701325178389,291,0.000319848852821,0.456063553223,96,207
NC,Cleveland County,37045,14,44229.0,97076,0.000316534400506,712,0.000144216902221,0.455612097738,534,208
VA,Culpeper County,51047,13,22397.0,49166,0.000580434879671,415,0.000264410364886,0.455538380181,182,209
AL,Baldwin County,1003,35,91139.0,200111,0.000384028791187,632,0.000174902928874,0.455442229563,415,210
NC,Nash County,37127,10,42941.0,94357,0.00023287766936,795,0.000105980478396,0.45509077228,714,211
WV,Monongalia County,54061,13,47039.0,103463,0.000276366419354,750,0.000125648782657,0.454645622106,626,212
MO,Buchanan County,29021,13,40465.0,89486,0.000321265290992,703,0.000145274121092,0.452193639228,529,213
PA,Fayette County,42051,40,60626.0,134086,0.000659782931416,328,0.000298316006145,0.452142654714,117,214
NC,Gaston County,37071,42,95142.0,211127,0.000441445418427,554,0.000198932396141,0.450638715086,334,215
LA,East Baton Rouge Parish,22033,60,200610.0,446042,0.000299087782264,726,0.000134516480511,0.449755852588,575,216
KS,Leavenworth County,20103,16,35394.0,78797,0.000452054020455,542,0.000203053415739,0.449179537292,319,217
NC,Guilford County,37081,52,229861.0,512119,0.000226223674308,802,0.000101538900138,0.448842944706,736,218
CA,Lake County,6033,33,28711.0,64184,0.00114938525304,98,0.00051414682787,0.447323320454,21,219
CA,Sutter County,6101,10,42802.0,95847,0.000233633942339,792,0.000104332947301,0.44656588104,725,220
OH,Hancock County,39063,11,33396.0,75337,0.000329380764163,691,0.000146010592405,0.443288158541,526,221
LA,Jefferson Parish,22051,113,193091.0,435716,0.000585216296979,403,0.000259343241928,0.443157928559,193,222
OK,McClain County,40087,10,16446.0,37313,0.000608050589809,378,0.000268003108836,0.440757912792,173,223
IN,Randolph County,18135,10,11170.0,25384,0.000895255147717,183,0.000393948944217,0.44004097069,53,224
PA,Somerset County,42111,19,33507.0,76218,0.000567045691945,420,0.000249284945813,0.439620562072,213,225
PA,Lackawanna County,42069,41,93299.0,212719,0.000439447368139,560,0.000192742538278,0.438602099483,355,226
PA,Lawrence County,42073,20,38860.0,88771,0.000514668039115,463,0.000225298802537,0.437755573329,260,227
WA,Cowlitz County,53015,23,44682.0,102133,0.000514748668368,461,0.00022519655743,0.437488373004,261,228
AL,Lauderdale County,1077,11,40603.0,93096,0.000270915942172,757,0.000118157600756,0.436141187591,660,229
MI,Kalamazoo County,26077,34,112752.0,258818,0.000301546757485,725,0.000131366442829,0.435642034171,597,230
CA,Plumas County,6063,12,8084.0,18606,0.00148441365661,52,0.00064495324089,0.434483499946,10,231
LA,St. Tammany Parish,22103,67,106709.0,245829,0.000627875811787,359,0.000272547177103,0.434078160022,159,232
MI,Allegan County,26005,23,49356.0,113847,0.00046600210714,518,0.000202025525486,0.433529210256,324,233
TN,Dickson County,47043,14,21896.0,50575,0.000639386189258,351,0.000276816608997,0.432941176471,146,234
SC,Greenwood County,45047,10,30085.0,69520,0.000332391557254,687,0.000143843498274,0.432753164557,538,235
WV,Boone County,54005,25,10259.0,23714,0.00243688468662,16,0.00105422956903,0.432613645948,1,236
GA,Muscogee County,13215,23,86653.0,200887,0.000265426471097,766,0.000114492226973,0.431351954084,675,237
CO,Pueblo County,8101,43,69690.0,161875,0.000617018223561,371,0.000265637065637,0.430517374517,177,238
SC,Oconee County,45073,21,32365.0,75192,0.000648849065348,343,0.000279285030322,0.430431428875,140,239
LA,Caddo Parish,22017,20,108619.0,252603,0.000184129848369,822,7.91756234091e-05,0.429998851953,800,240
OK,Wagoner County,40145,23,32412.0,75702,0.000709613723312,285,0.000303822884468,0.428152492669,106,241
IN,Allen County,18003,43,156420.0,365918,0.000274900907812,752,0.000117512666772,0.42747282178,664,242
OR,Douglas County,41019,13,45623.0,106972,0.000284943997545,736,0.000121527128594,0.426494783682,645,243
OH,Allen County,39003,12,44748.0,105040,0.000268168409761,763,0.00011424219345,0.426009139375,676,244
GA,Carroll County,13045,19,48570.0,114093,0.000391187976117,620,0.000166530812583,0.425705345639,448,245
OH,Brown County,39015,19,18753.0,44116,0.00101317122594,134,0.000430682745489,0.425083869798,38,246
IN,Fayette County,18041,15,9971.0,23468,0.00150436265169,48,0.000639168229078,0.424876427476,11,247
AL,St. Clair County,1115,29,36796.0,86697,0.000788129144472,241,0.000334498310207,0.42442068353,84,248
SC,Greenville County,45045,81,204713.0,482752,0.000395675897476,615,0.000167788015378,0.424054172743,441,249
GA,Hall County,13139,23,80869.0,190761,0.000284410589966,737,0.000120569718129,0.423928371103,650,250
OH,Summit County,39153,129,229620.0,541943,0.000561797752809,423,0.000238032413003,0.423697695145,231,251
IL,Peoria County,17143,31,79226.0,187319,0.000391285689041,619,0.000165493089329,0.422946951457,452,252
OH,Huron County,39077,17,24795.0,58714,0.00068562210123,308,0.000289539121845,0.422301325067,130,253
FL,Escambia County,12033,43,130848.0,310659,0.000328625580827,693,0.000138415432999,0.421194943652,553,254
OH,Fairfield County,39045,17,63035.0,150381,0.000269691441263,760,0.000113046195996,0.419168644975,681,255
NC,Rowan County,37159,29,58049.0,138630,0.000499577942772,483,0.00020918993003,0.418733318906,301,256
VA,Pulaski County,51155,12,14356.0,34322,0.000835887433826,213,0.000349629974943,0.418273993357,75,257
OH,Columbiana County,39029,20,44139.0,105686,0.000453114026145,540,0.000189239823628,0.417642828757,365,258
OR,Yamhill County,41071,10,42494.0,101758,0.00023532734033,790,9.82723717054e-05,0.417598616325,745,259
MI,Calhoun County,26025,30,56119.0,134878,0.000534578306812,444,0.000222423226916,0.416072302377,267,260
GA,Bartow County,13015,17,42201.0,101736,0.000402834056065,598,0.000167099158607,0.414808917197,445,261
OK,Stephens County,40137,12,18450.0,44493,0.000650406504065,340,0.000269705346909,0.414671970872,166,262
IL,Knox County,17095,10,21591.0,52069,0.000463155944607,523,0.000192052852945,0.414661314794,356,263
OH,Medina County,39103,18,72886.0,176029,0.000246961007601,780,0.000102255878293,0.414056774736,734,264
NC,Robeson County,37155,26,55642.0,134760,0.000467272923331,514,0.000192935589196,0.412897002078,354,265
OR,Josephine County,41033,17,34449.0,83599,0.000493483119974,493,0.000203351714733,0.412074307109,317,266
OH,Richland County,39139,32,50237.0,121942,0.000636980711428,352,0.00026241983894,0.411974545276,186,267
OH,Geauga County,39055,11,38710.0,94295,0.000284164298631,738,0.000116655177899,0.410520176043,668,268
OH,Seneca County,39147,12,22831.0,55669,0.000525601156323,453,0.000215559826834,0.41012053387,286,269
MS,Harrison County,28047,43,81431.0,199058,0.000528054426447,449,0.000216017442153,0.409081775161,284,270
